comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,sub_comment_count,like_count,last_modify_ts,parent_comment_id,pictures,source_platform,create_date_time,note_id,comment_like_count,gender,profile_url,cluster_label,processed_content.1
7.59E+18,1766613567,江苏,7.59E+18,38减18早就没有了 一两个月前就没有了 现在只有20减5减4这种小券 还有58减10块 因为商战结束了 XX现在我都不点 我都去XX或者XX,99352942815,MS4wLjABAAAAfG8FqihD3JsI0LyA8x_fClOsQ1_1yUE7JUT7IQbE1HU,994824197,Aishi_50,,猫飼,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_o8BXxTQAEfAXMQwABa7h8J8zAFMeBEAgeAqQcO.jpeg?from=2064092626,29,221,1.76683E+12,0,,抖音,,,,,,价格优惠,早就 一两个 现在 这种 小券 还有 因为 商战 结束 现在 不点 或者
7.55E+18,1758256102,福建,7.33E+18,XX真的是无语了，真的给饿了，两小时了餐不知道在哪里，显示已送达，问平台然后让你等？不要问我XX，真的很饿,59861147582,MS4wLjABAAAA_52brt3EWDHMRLPMZlcXLetKCzn4VBfMqe-JFcI9b_Q,12658632,MR181818AAA,,彭于文晏18,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_d749d13ded1381f7e4383961b52d05ca.jpeg?from=2064092626,0,0,1.76683E+12,0,,抖音,,,,,,配送时效,真的 无语 真的 知道 哪里 显示 送达 平台 然后 不要 真的
7.45E+18,1735468344,浙江,7.45E+18,XX的那个换电，虽然众包没要求，但是我在用，铁塔60-30an的用完送的券，180一个月，太香了。,1.04E+11,MS4wLjABAAAA0DRQ1psd3p4OChFVLOWMkuJz0ByClZ8svAbpA-7kmYE,1568870685,912235573,,俊,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_5db8befc9d1346f8b64b8ff28db9423f.jpeg?from=2064092626,38,35,1.76683E+12,0,,抖音,,,,,,价格优惠,换电 虽然 众包 要求 但是 铁塔 完送 一个月 太香
7.48E+18,1742119193,黑龙江,7.45E+18,我刚成年想跑点外卖整点小钱不想让家里负担太大 新手推荐哪个平台,1.11E+11,MS4wLjABAAAA9GhVUSJwoY01bt7RgPr4jneECwfFtYZ6QHs1OKyUA20,3419329207,xiaoxie14474,,King,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_okEAhzyAyCNAsgeo18IABiiAxuBckMANJfqZLN.jpeg?from=2064092626,32,33,1.76683E+12,0,,抖音,,,,,,其他内容,我刚 成年 整点 小钱 不想 家里 负担 新手 推荐 平台
7.50E+18,1747014330,北京,7.50E+18,XX现在就是25-20叠4-3这种券，有的商家还可以用红包，XX是抢15-15和20-20但是挺难抢的，我是XX用津贴+膨胀的12+商家补贴等下单外卖，真的很便宜，一两块钱甚至几毛钱那种，XX也有类似的补贴商家，还有XX,1.11E+11,MS4wLjABAAAAQRIfcWZwqR7_YlczBqJR_WMIJ3vNoDGjLaHb60DEd7c,1989232372,aifuji93,,任飞,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_81ec67e96f7ed7ffd9d4e1ee404baa1a.jpeg?from=2064092626,0,0,1.76683E+12,0,,抖音,,,,,,价格优惠,现在 就是 这种 券有 可以 红包 但是 挺难 津贴 膨胀 补贴 下单 真的 便宜 两块钱 甚至 几毛钱 那种 类似 补贴 还有
7.50E+18,1746882356,山东,7.50E+18,那个先提高十倍价格再下降一半的XX吗算了，还是XX好用点,94387339318,MS4wLjABAAAA3uMSW1O4Lrwz-gJfP5Ph8kA7uiX9QXFsJMoGMYjCc6o,569798087,feifeifeifei0928,,1Yveveiii,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oAmANOO6YCqErAi94ANI7zEAATAggTfB6evBiR.jpeg?from=2064092626,1,40,1.76683E+12,0,,抖音,,,,,,价格优惠,提高 十倍 价格 下降 一半 算了 还是 好用
7.51E+18,1748786230,江西,7.50E+18,我朋友跑外卖，2.8点了两杯蜜雪冰城，然后自己在XX大厅找到了自己的单子，自己赚了配送费5块,97943573977,MS4wLjABAAAAhR0lI5xo27BK8ZKXpDe1q7TvZkllNYYzdRGFR-V0eds,894884064,Flvv127,,阿莫西西多.,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oY4XijcBiAA0aQBAIPAB5oa9FAITPKlZBEgyU.jpeg?from=2064092626,2,16,1.76683E+12,0,https://p9-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/32e7939a145f47fe820fae84b7b356d4~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1766919600&x-signature=gFq66xgwLiqDWdKSqck0JYBnrE0%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20251227184447905C47B91D85ECAA42F9,抖音,,,,,,价格优惠,朋友 两杯 蜜雪 冰城 然后 自己 大厅 找到 自己 自己 配送费
7.50E+18,1747096120,广东,7.50E+18,XX不知道 反正希望XX输因为XX的厂天天拿我当日本人整,3.81E+15,MS4wLjABAAAA-J5B0Gc8u-EtCbub-knZ2yJ5zmhQxdOLGqBZ4Ptgs62-yYXVC91yeMCgZJuVw-4j,37011008200,37011008200,,花有重开日,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oMef7WUDQgEQAFNpf38qAAvA2AvflM0FCAwqIP.jpeg?from=2064092626,1,15,1.76683E+12,0,,抖音,,,,,,平台体验,知道 反正 希望 因为 天天 当日 本人
7.49E+18,1744823541,福建,7.49E+18,真的好便宜，比XX，饿了吗便宜太多了，以后就用XX了,1.06E+11,MS4wLjABAAAA7yGkOg32QR06mcNwGWilUtc7RefFfX6gTybJCYqIwis,3419440720,dyunvfqwbomf,,体彩打工妹,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_970940507805f9c7d87439960d6d7274.jpeg?from=2064092626,6,100,1.76683E+12,0,,抖音,,,,,,价格优惠,真的 便宜 比饿 便宜 太多
7.50E+18,1745100111,福建,7.49E+18,可是我看了下没有我想象的那么优惠,95913675907,MS4wLjABAAAAEqm620BnbTyyfVLI2KcOB_TKPDcbcOwMVVAxJNBvAto,1718737035,,,卿非佳人,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_ocA4aPaAIiBAwIAGkwm9AcNgBAZP8LaSXdECi.jpeg?from=2064092626,11,97,1.76683E+12,0,,抖音,,,,,,价格优惠,可是 想象 那么 优惠
